Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Suditasia,Selangor,1,103796197,Pudu Sentral,11605,"Park at Taman Putra Sulaiman, Ampang
Park at Taman Ampang Jaya, Ampang",946,Ampang Point,Leasehold,3,REN 20478,"Barbeque area, Squash Court, Sauna",2019,350000,R.E.A.L Kids Ampang,Condominium
IJM LAND BERHAD,Selangor,1,103536109,Pudu Sentral,11545,"Park 4 at Putra Permai, Subang Jaya
Park at Pangsapuri Putra Indah, Putra Permai
Park 2 at Putra Permai, Subang Jaya
Park 4 at Subang Jaya, Petaling
Park at Eminence, Putra Permai
Park 3 at Putra Permai, Subang Jaya
Park at Alam Sanctuary, Sepang
Park at Taman Pinggiran Putra, Putra Permai
Park at Taman Prima Tropika, Sepang",650,One Utama,Leasehold,3,REN 24409,"Squash Court, Jogging Track, Multipurpose hall, Lift, Barbeque area",2003,179000,SM imtiaz Kemaman,Flat
JKG Land Berhad,Kuala Lumpur,2,103796315,"Bus Stop 2 Segambut Garden (West)
Bus Stop 1 Segambut Garden (West)
Bus Stop Nan Yang Gong Temple Segambut
Bus Stop 1 Menara TKSS
Bus Stop 2 Menara TKSS
Bus Stop Segambut Garden (North)
Bus Stop SJKC Khai Chee (Opp)
Bus Stop SJKC Khai Chee
Bus Stop SK Segambut (Opp)
Bus Stop 2 Al-Firdaus Mosque
Bus Stop 1 Al-Firdaus Mosque
Bus Stop Arkid Negara
Bus Stop Million Garden
Bus Stop Kompleks Mahkamah KL
Bus Stop SMK Segambut
Bus Stop MITEC
Bus Stop Komplek Kerajaan
Bus Stop SMK (P) Jalan Ipoh
Bus Stop Kompleks Sukan Negara
Bus Stop Kompleks Sukan Negara (Opp)",11584,"Park at Million Garden, Segambut, Kuala Lumpur, Malaysia
Park at Million Garden, Sentul, Kuala Lumpur, Malaysia
Park at Segambut, Kuala Lumpur, Malaysia",646,Berjaya Times Square,Freehold,2,REN 53359,"Sauna, Swimming Pool, Parking, Security, Club house, Multipurpose hall, Playground, Squash Court, Tennis Court, Minimart, Gymnasium, Lift, Jogging Track, Barbeque area",2017,432000,MRSM Tun Ghafar Baba,Service Residence
HAP SENG LAND SDN BHD,Selangor,1,102874865,KL Central,11584,Selangor State Park,1155,Sunway Pyramid,Freehold,3,REN 64977,"Minimart, Barbeque area, Swimming Pool",2004,780000,Sekolah Seni Malaysia,Service Residence
PJD Group,Selangor,2,103105437,KL Central,31484,Taman Negara,847,The Exchange TRX,Freehold,2,E 31484,"Lift, Playground, Swimming Pool, Sauna",2022,460000,SM Sains T. Munawir,Service Residence
Ekovest Berhad,Johor,1,103796311,Pudu Sentral,21742,Gunung Ledang National Park,2124,One Utama,Freehold,4,REN 21583,"Swimming Pool, Playground, Jogging Track, Parking, Club house, Lift, Barbeque area, Multipurpose hall, Minimart, Squash Court, Gymnasium, Security",2014,520000,MRSM Tun Ghafar Baba,Apartment
Trinity Group,Selangor,2,103796162,Seremban Bus terminal,11051,Taman Negara,926,One Utama,Freehold,3,REN 66961,"Lift, Tennis Court, Gymnasium, Barbeque area",2004,456000,SM Sains T. Munawir,Service Residence
Malaysia Land Properties Sdn. Bhd.,Penang,2,103796304,Terminal Sentral Kuantan Bus terminal,77778,Selangor State Park,960,Berjaya Times Square,Freehold,3,REN 66961,"Parking, Sauna, Multipurpose hall, Swimming Pool, Barbeque area, Security, Squash Court, Club house, Gymnasium, Minimart, Jogging Track, Tennis Court, Lift",1997,500000,Sekolah Seni Malaysia,Apartment
Oscartech Development,Selangor,1,103796303,Seremban Bus terminal,11321,Taman Negara,656,One Utama,Leasehold,3,REN 28191,"Barbeque area, Multipurpose hall",1993,155000,Sekolah Menengah Kebangsaan Taman Selayang,Apartment
Medan Idaman,Kuala Lumpur,2,103438937,Terminal Sentral Kuantan Bus terminal,11752,"Taman Greenwood Indah Park, Taman Gombak, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia
Taman Selaseh Park, Taman Selaseh Fasa 1, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia
Taman Gombak Ria Playground, Taman Gombak Ria, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia
Taman Gombak Ria Park, Taman Gombak Ria, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia
Park at Taman Selaseh Fasa 2, Batu Caves, Selayang Municipal Council, Gombak, Selangor, Malaysia
Taman Melewar Park, Taman Melewar, Kuala Lumpur, Malaysia
Park 1 at Taman Samudera, Batu Caves, Selayang Municipal Council, Gombak, Selangor, Malaysia
Taman Rowther Park, Taman Rowther, Kuala Lumpur, Malaysia
Park 2 at Taman Samudera, Batu Caves, Selayang Municipal Council, Gombak, Selangor, Malaysia
BC Park, Taman Samudera, Gombak, Selayang Municipal Council, Gombak, Selangor, Malaysia",845,One Utama,Freehold,3,REN 31018,"Gymnasium, Swimming Pool, Club house",2013,260000,SM imtiaz Kemaman,Condominium
Aroma Development Sdn. Bhd.,Penang,1,103796293,Seremban Bus terminal,77778,Penang National Park,1283,Sunway Pyramid,Freehold,3,REN 66961,"Tennis Court, Playground, Minimart, Security, Squash Court, Parking, Multipurpose hall, Swimming Pool, Club house",1994,750000,SMK Bukit Jambul,Condominium
Crystal Aim (a subsidiary of Siah Brothers Construction),Kuala Lumpur,1,103001429,"Bus Stop Bamboo Garden Jalan Ipoh
Bus Stop Simpang Batu Kantomen / Caltex Jalan Ipoh
Bus Stop 1 SK Kampung Batu Jalan Ipoh
Bus Stop 2 SK Kampung Batu Jalan Ipoh
Bus Stop Kentonmen MRT Station
Bus Stop 2 Rainbow Garden
Bus Stop Kok Lian Commercial
Bus Stop 1 Rainbow Garden
Bus Stop Sri Kuching Garden
Bus Stop Kok Lian Garden / PPR Pekan Batu
Bus Stop City Garden Commerical
Bus Stop SJKC Mun Choong
Bus Stop Kompleks Mutiara
Bus Stop 1 Brem Mall
Bus Stop 2 Brem Mall
Bus Stop Kg Sri Delima
Bus Stop SPG Jln Jambu Golok
Bus Stop Batu Garden Commercial",11605,"PTGWPKL Government Reserved Land, Bamboo Garden, Batu, Kuala Lumpur, 51200, Malaysia
Taman Sejahtera Park, City Garden, Batu, Kuala Lumpur, 51200, Malaysia
City Garden, Batu, Kuala Lumpur, Malaysia",904,District K @ KLDC (U/C),Freehold,3,REN 20478,"Club house, Playground, Sauna, Gymnasium, Multipurpose hall, Jogging Track, Swimming Pool",2010,270000,Sekolah Menengah Kebangsaan Raja Ali,Condominium
Tanjung Ratna Sdn Bhd,Melaka,2,103605382,Terminal Sentral Kuantan Bus terminal,11605,Taman Negara,1069,Sunway Pyramid,Leasehold,3,REN 47532,"Gymnasium, Swimming Pool, Minimart, Playground, Club house, Lift, Security, Multipurpose hall, Sauna, Tennis Court, Parking, Squash Court",2007,360000,SM Sains T. Munawir,Apartment
Tecktonic & Sons Holdings Sdn Bhd,Sarawak,2,100543136,KL Central,77778,Gunung Ledang National Park,1160,The Exchange TRX,Leasehold,3,REN 66961,"Squash Court, Playground, Lift, Tennis Court",2020,580000,MRSM Tun Ghafar Baba,Apartment
